OpportunityExtId__c,AccountExtId__c,Name,StageName,Amount,CloseDate,Probability,Type,Renewal__c,Original_Opp_ExtId__c,NextStep,Description,ARR__c,Term_Months__c
RC-OPP-0001,RC-ACCT-0001,Acme Health SecOps Retainer 2024,Closed Won,300000,2024-07-10,100,New Business,false,,Kickoff onboarding workshops,Initial 12 month SecOps retainer for core hospital systems,300000,12
RC-OPP-0002,RC-ACCT-0001,Acme Health SecOps Renewal 2025,Negotiation/Review,330000,2025-07-15,70,Renewal,true,RC-OPP-0001,Present updated pricing and scope,Renewal with expanded coverage for additional clinics,330000,12
RC-OPP-0003,RC-ACCT-0002,Northern Lights Bank Observability 2024,Closed Won,420000,2024-09-05,100,New Business,false,,Plan production rollout by region,Multi region observability and incident response engagement,420000,12
RC-OPP-0004,RC-ACCT-0002,Northern Lights Bank SRE Add On,Value Proposition,180000,2025-12-01,40,Upsell,true,RC-OPP-0003,Align on SLO targets and pilot scope,Proposed SRE team focused on card authorization APIs,180000,12
RC-OPP-0005,RC-ACCT-0003,Greenfield Logistics Migration 2024,Closed Won,180000,2024-10-20,100,New Business,false,,Schedule cutover rehearsals,Migration of on premises tracking system to cloud,180000,12
RC-OPP-0006,RC-ACCT-0003,Greenfield Logistics Managed DevOps,Proposal/Price Quote,240000,2025-08-30,50,Upsell,true,RC-OPP-0005,Review proposal with operations leadership,Managed DevOps for logistics applications and APIs,240000,12
RC-OPP-0007,RC-ACCT-0004,BlueSky Retail Observability Pilot,Closed Won,150000,2025-04-12,100,New Business,false,,Run pilot across ecommerce and POS,Observability pilot for ecommerce and in store systems,150000,6
RC-OPP-0008,RC-ACCT-0004,BlueSky Retail Full Rollout,Qualification,350000,2025-12-15,30,New Business,true,RC-OPP-0007,Validate pilot KPIs and secure budget,Full rollout of observability and incident response program,350000,18
RC-OPP-0009,RC-ACCT-0005,Vertex Manufacturing Zero Trust Audit,Closed Won,240000,2024-12-18,100,New Business,false,,Share audit report and remediation plan,Comprehensive security posture and zero trust audit,240000,6
RC-OPP-0010,RC-ACCT-0005,Vertex Manufacturing Managed SecOps,Negotiation/Review,260000,2025-06-30,65,Upsell,true,RC-OPP-0009,Finalize contract redlines with legal,Ongoing managed SecOps for plant and corporate environments,260000,12
RC-OPP-0011,RC-ACCT-0006,UrbanGrid Energy Platform SRE 2025,Closed Won,210000,2025-05-08,100,New Business,false,,Plan runbook and on call integration,SRE engagement for distributed energy control platform,210000,12
RC-OPP-0012,RC-ACCT-0007,CloudNova Managed DevOps Pilot,Qualification,90000,2025-09-20,35,New Business,false,,Agree on pilot success metrics,Managed DevOps pilot for core application team,90000,6
RC-OPP-0013,RC-ACCT-0007,CloudNova GenAI Enablement,Prospecting,40000,2026-02-15,20,New Business,false,,Schedule discovery workshop,GenAI use case identification and safety workshop,40000,1
RC-OPP-0014,RC-ACCT-0008,Everest Insurance Incident Response 2025,Needs Analysis,280000,2025-11-30,45,New Business,false,,Collect current incident runbooks,Incident response program for claims and policy systems,280000,12
RC-OPP-0015,RC-ACCT-0002,Northern Lights Bank Competitive Replacement,Closed Lost,350000,2025-03-01,0,New Business,false,,Document loss reasons and competitor strengths,Attempted competitive replacement deal lost to incumbent,350000,12
RC-OPP-0016,RC-ACCT-0003,Greenfield Logistics Cost Optimization,Closed Lost,90000,2025-01-20,0,New Business,false,,Capture feedback and consider new offer,Cost optimization project postponed due to budget freeze,90000,6
